X_id,REC_ID,IMAGEURL,REFURL1,DIRECTION1,REFURL2,DIRECTION2,MAINROAD,CROSSROAD,OBJECTID,REFURL3,DIRECTION3,REFURL4,DIRECTION4,geometry
12,8011,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8011.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011e.jpg,East,ADELAIDE ST E,PARLIAMENT ST,12,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8011w.jpg,West,"c(-79.36344100899, 43.6534890014317)"
13,8012,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8012.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012e.jpg,East,ADELAIDE ST E,CHURCH ST,13,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8012w.jpg,West,"c(-79.3748159966986, 43.6512640074972)"
14,8013,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8013.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013e.jpg,East,BAY ST,ADELAIDE ST W,14,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8013w.jpg,West,"c(-79.3807319914649, 43.6500350042574)"
15,8014,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8014.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014e.jpg,East,UNIVERSITY AVE,ADELAIDE ST W,15,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8014w.jpg,West,"c(-79.385330003244, 43.6489809958318)"
16,8015,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8015.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015e.jpg,East,ADELAIDE ST W,SIMCOE ST,16,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8015w.jpg,West,"c(-79.3864830020457, 43.6486069967868)"
17,8016,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8016.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016e.jpg,East,RICHMOND ST E,PARLIAMENT ST,17,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8016w.jpg,West,"c(-79.3639570029156, 43.6546980034625)"
18,8017,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8017.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017e.jpg,East,RICHMOND ST E,CHURCH ST,18,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8017w.jpg,West,"c(-79.3753520080616, 43.6525400046123)"
19,8018,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8018.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8018n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8018e.jpg,East,BAY ST,RICHMOND ST W,19,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8018s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8018w.jpg,West,"c(-79.3814130065462, 43.6511680028268)"
20,8019,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8019.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8019n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8019e.jpg,East,UNIVERSITY AVE,RICHMOND ST W,20,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8019s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8019w.jpg,West,"c(-79.3865059885484, 43.6499149985531)"
21,8020,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8020.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8020n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8020e.jpg,East,SPADINA AVE,RICHMOND ST W,21,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8020s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8020w.jpg,West,"c(-79.3961449982451, 43.6477430056413)"
22,8021,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8021.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8021n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8021e.jpg,East,UNIVERSITY AVE,QUEEN ST W,22,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8021s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8021w.jpg,West,"c(-79.3869500048448, 43.6508269972901)"
23,8022,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8022.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8022n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8022e.jpg,East,UNIVERSITY AVE,QUEEN ST W,23,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8022s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8022w.jpg,West,"c(-79.3862679961158, 43.6507850045542)"
24,8023,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8023.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8023n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8023e.jpg,East,THE QUEENSWAY,COLBORNE LODGE DR,24,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8023s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8023w.jpg,West,"c(-79.4598789931166, 43.6396249995224)"
25,8024,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8024.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8024n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8024e.jpg,East,THE QUEENSWAY,KING ST W / RONCESVALLES AVE,25,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8024s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8024w.jpg,West,"c(-79.4458620072651, 43.6387200010102)"
26,8025,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8025.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8025n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8025e.jpg,East,THE QUEENSWAY,KING ST W / RONCESVALLES AVE,26,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8025s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8025w.jpg,West,"c(-79.4461979997267, 43.6385540031668)"
27,8026,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8026.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8026n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8026e.jpg,East,THE QUEENSWAY,ELLIS AVE,27,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8026s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8026w.jpg,West,"c(-79.4665279934133, 43.6379810034202)"
28,8027,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8027.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8027n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8027e.jpg,East,THE QUEENSWAY,WINDERMERE AVE,28,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8027s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8027w.jpg,West,"c(-79.4702619948212, 43.6373549995219)"
29,8028,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8028.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8028n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8028e.jpg,East,THE QUEENSWAY,ISLINGTON AVE,29,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8028s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8028w.jpg,West,"c(-79.5150609922626, 43.6236920059756)"
30,8030,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8030.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8030n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8030e.jpg,East,KIPLING AVE,THE QUEENSWAY,30,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8030s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8030w.jpg,West,"c(-79.5270669946805, 43.6210459999958)"
31,8031,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8031.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8031n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8031e.jpg,East,JARVIS ST,DUNDAS ST E,31,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8031s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8031w.jpg,West,"c(-79.3746310010372, 43.6569310034762)"
32,8032,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8032.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8032n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8032e.jpg,East,YONGE ST,DUNDAS ST,32,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8032s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8032w.jpg,West,"c(-79.381032993917, 43.656237999307)"
33,8033,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8033.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8033n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8033e.jpg,East,UNIVERSITY AVE,DUNDAS ST,33,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8033s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8033w.jpg,West,"c(-79.3879779987806, 43.6546940019772)"
34,8034,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8034.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8034n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8034e.jpg,East,JARVIS ST,CARLTON ST,34,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8034s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8034w.jpg,West,"c(-79.376851998857, 43.6623110106268)"
35,8035,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8035.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8035n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8035e.jpg,East,CARLTON ST,CHURCH ST,35,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8035s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8035w.jpg,West,"c(-79.3792239946116, 43.661980995765)"
36,8036,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8036.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8036n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8036e.jpg,East,YONGE ST,COLLEGE ST / CARLTON ST,36,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8036s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8036w.jpg,West,"c(-79.3832719964188, 43.6614319964405)"
37,8037,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8037.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8037n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8037e.jpg,East,BAY ST,COLLEGE ST,37,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8037s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8037w.jpg,West,"c(-79.3856920028719, 43.6609200061728)"
38,8038,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8038.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8038n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8038e.jpg,East,UNIVERSITY AVE,COLLEGE ST,38,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8038s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8038w.jpg,West,"c(-79.3906429994984, 43.6596820070307)"
39,8039,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8039.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8039n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8039e.jpg,East,COLLEGE ST,ST GEORGE ST / BEVERLEY ST,39,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8039s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8039w.jpg,West,"c(-79.3958350008438, 43.6588019966228)"
40,8040,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8040.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8040n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8040e.jpg,East,BLOOR ST W,CASTLE FRANK RD,40,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8040s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8040w.jpg,West,"c(-79.3678130015072, 43.673872002157)"
41,8041,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8041.jpg,None,None,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8041e.jpg,East,BLOOR ST E,TED ROGERS WAY,41,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8041s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8041w.jpg,West,"c(-79.380498997595, 43.6716840009141)"
42,8042,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8042.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8042n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8042e.jpg,East,YONGE ST,BLOOR ST,42,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8042s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8042w.jpg,West,"c(-79.3866269973482, 43.6703179994192)"
43,8043,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8043.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8043n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8043e.jpg,East,BAY ST,BLOOR ST W,43,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8043s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8043w.jpg,West,"c(-79.3896430028517, 43.6698140049965)"
44,8044,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8044.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8044n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8044e.jpg,East,BAY ST,BLOOR ST W,44,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8044s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8044w.jpg,West,"c(-79.3896899973845, 43.6697550016318)"
45,8045,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8045.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8045n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8045e.jpg,East,AVENUE RD,BLOOR ST W,45,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8045s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8045w.jpg,West,"c(-79.3942160097075, 43.6685390051661)"
46,8046,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8046.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8046n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8046e.jpg,East,SPADINA AVE,BLOOR ST W,46,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8046s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8046w.jpg,West,"c(-79.4038409932634, 43.6665080027107)"
47,8047,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8047.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8047n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8047e.jpg,East,BATHURST ST,BLOOR ST W,47,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8047s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8047w.jpg,West,"c(-79.4110829991932, 43.6652230016024)"
48,8048,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8048.jpg,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8048n.jpg,North,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8048e.jpg,East,BATHURST ST,BLOOR ST W,48,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8048s.jpg,South,http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8048w.jpg,West,"c(-79.4111399990104, 43.6652490057816)"
