sign_id,X_id,ward_no,longitude,latitude,speed_limit,volume,speed_bin,no_camera_in_radius,prob_high_speed
416,318,12,-79.00082994569092,43.63284906144254,40,40,"[30,35)",FALSE,0.23205783595331012
950,12,1,-79.58534607044422,43.69537519589066,50,61,"[50,55)",TRUE,0.23757148133590816
2132,319,12,-79.59116478429642,43.77567895767279,30,94,"[15,20)",FALSE,0.23205783595331012
1961,88,13,-79.3044619461638,43.77748608342372,50,12,"[65,70)",FALSE,0.21606338378041984
23,12,19,-79.32554639597656,43.74989496101625,50,35,"[60,65)",FALSE,0.1704713825136423
719,243,2,-79.12464231381891,43.65872106454335,30,99,"[5,10)",FALSE,0.19843852175399662
164,51,12,-79.07627384647495,43.659398208139464,50,98,"[85,90)",TRUE,0.23205783595331012
302,51,19,-79.1667267899844,43.68933381745592,30,8,"[45,50)",FALSE,0.1704713825136423
667,393,17,-79.00312104091282,43.622024913365024,60,90,"[40,45)",TRUE,0.18366153482347725
66,336,24,-79.57753234006232,43.72344181886874,40,5,"[85,90)",FALSE,0.13554216166958213
2622,338,1,-79.03569508626825,43.681851596571505,40,45,"[30,35)",TRUE,0.23757148133590816
659,51,15,-79.14849489892367,43.74788807113655,60,7,"[10,15)",TRUE,0.27325429841876026
488,317,17,-79.36324880165049,43.764558765804395,60,66,"[85,90)",TRUE,0.18366153482347725
1961,250,23,-79.580467963696,43.61237145909109,50,93,"[50,55)",FALSE,0.20431941663846373
416,317,11,-79.00357083495473,43.778040307620536,30,82,"[95,100)",TRUE,0.2465580616146326
978,319,1,-79.5398437344702,43.692601625528184,60,100,"[55,60)",TRUE,0.23757148133590816
1961,298,20,-79.05166409368394,43.68457012888975,40,91,"[5,10)",TRUE,0.17796507151797414
659,51,11,-79.40569134276593,43.639338561100885,30,73,"[75,80)",FALSE,0.2465580616146326
659,423,18,-79.62875128735323,43.69930288116448,50,26,"[85,90)",FALSE,0.2735045649576932
659,318,4,-79.0750627944828,43.72903140373528,40,37,"[85,90)",FALSE,0.29900998231023546
23,17,21,-79.55631821282441,43.724854765180496,30,4,"[45,50)",FALSE,0.17609285484068096
2194,21,22,-79.48836957510794,43.77958695408888,40,80,"[85,90)",FALSE,0.2284611279144883
950,17,24,-79.61947757109301,43.752888679224995,40,74,"[80,85)",FALSE,0.13554216166958213
488,248,21,-79.57978004643229,43.63703475832008,60,45,"[35,40)",FALSE,0.17609285484068096
2611,88,4,-79.18625678315293,43.74377546664327,60,9,"[20,25)",FALSE,0.29900998231023546
302,51,22,-79.27382668320789,43.7710374480579,40,92,"[20,25)",FALSE,0.2284611279144883
978,51,16,-79.16109147287207,43.61939333053306,40,5,"[55,60)",FALSE,0.12078052596189082
2132,51,14,-79.42752615133068,43.752174257766455,30,81,"[15,20)",FALSE,0.2189563052263111
66,146,13,-79.25455263293115,43.66819261172786,50,86,"[20,25)",FALSE,0.21606338378041984
416,186,11,-79.02232917947694,43.76408367617987,40,26,"[20,25)",FALSE,0.2465580616146326
2194,84,3,-79.51561485521961,43.64761530291289,30,98,"[70,75)",FALSE,0.1690231145825237
667,298,1,-79.2684805839439,43.63263122811914,60,86,"[15,20)",FALSE,0.23757148133590816
2611,423,18,-79.40371687395964,43.78973060930147,30,30,"[50,55)",FALSE,0.2735045649576932
2132,403,18,-79.58306335778907,43.63256620033644,50,20,"[75,80)",FALSE,0.2735045649576932
164,243,14,-79.13340979260393,43.693323163175954,60,92,"[25,30)",FALSE,0.2189563052263111
144,234,4,-79.53758202900644,43.65534999892115,30,65,"[25,30)",FALSE,0.29900998231023546
66,11,21,-79.0686495419126,43.74460504231974,50,91,"[45,50)",TRUE,0.17609285484068096
144,240,20,-79.55733679116238,43.74312067525461,30,11,"[45,50)",FALSE,0.17796507151797414
950,423,9,-79.6244301068131,43.74675192241557,40,94,"[85,90)",FALSE,0.2898721339181065
667,317,2,-79.61513622466009,43.73648415217176,40,13,"[85,90)",FALSE,0.19843852175399662
659,423,5,-79.00948389244732,43.630751880584285,50,51,"[50,55)",FALSE,0.2390534340403974
950,116,17,-79.24301720696967,43.618141764262695,30,26,"[85,90)",TRUE,0.18366153482347725
950,186,6,-79.35121592122596,43.6236146368552,60,79,"[15,20)",FALSE,0.10214000712148846
2132,298,2,-79.4748687032261,43.773613574821496,40,78,"[90,95)",FALSE,0.19843852175399662
302,162,13,-79.14394996080082,43.6483759930823,30,1,"[45,50)",FALSE,0.21606338378041984
667,319,15,-79.19966602582717,43.676861426141116,60,8,"[85,90)",FALSE,0.27325429841876026
488,237,17,-79.39820763419849,43.66604487900622,50,87,"[85,90)",FALSE,0.18366153482347725
66,336,21,-79.06489613986341,43.62970731360838,30,80,"[95,100)",FALSE,0.17609285484068096
667,375,11,-79.44419834772125,43.74061036980711,60,59,"[30,35)",TRUE,0.2465580616146326
302,359,17,-79.1707499558921,43.643382107280196,60,12,"[85,90)",FALSE,0.18366153482347725
978,250,10,-79.0520878235111,43.601730537833646,40,14,"[35,40)",TRUE,0.14983852771110834
2622,403,9,-79.49324502538657,43.61851748316549,30,52,"[75,80)",FALSE,0.2898721339181065
144,237,10,-79.02734758756124,43.65889735626988,60,92,"[85,90)",FALSE,0.14983852771110834
2194,110,24,-79.2989471933921,43.65438252920285,50,69,"[50,55)",FALSE,0.13554216166958213
659,250,23,-79.44373393727001,43.697995046526195,50,33,"[60,65)",TRUE,0.20431941663846373
667,248,23,-79.17804875598522,43.7847568183206,40,77,"[85,90)",FALSE,0.20431941663846373
2611,403,25,-79.6071770670591,43.60911528412253,60,37,"[95,100)",TRUE,0.10599813573062421
1961,375,18,-79.38103887730976,43.668320533400404,30,18,"[80,85)",TRUE,0.2735045649576932
2132,393,16,-79.3518074847525,43.746505133016036,60,15,"[65,70)",TRUE,0.12078052596189082
2194,387,2,-79.57286444930361,43.7625042444095,60,15,"[85,90)",FALSE,0.19843852175399662
144,186,3,-79.21669160849414,43.779709725640714,40,12,"[25,30)",FALSE,0.1690231145825237
2194,234,25,-79.01670657022623,43.658203163463625,40,43,"[100,)",FALSE,0.10599813573062421
2194,403,15,-79.33012973251753,43.734893954498695,40,81,"[50,55)",FALSE,0.27325429841876026
950,146,4,-79.02562965656398,43.64535749102943,30,1,"[90,95)",FALSE,0.29900998231023546
144,393,6,-79.15642040140229,43.73644241522997,40,38,"[75,80)",FALSE,0.10214000712148846
2132,146,25,-79.02351644053124,43.72871090355329,60,9,"[85,90)",FALSE,0.10599813573062421
719,250,12,-79.12525898024906,43.78306493894197,50,83,"[20,25)",FALSE,0.23205783595331012
667,359,23,-79.51802177663194,43.77927067982964,50,16,"[85,90)",FALSE,0.20431941663846373
2132,386,6,-79.51254442298087,43.79192464780062,30,16,"[100,)",FALSE,0.10214000712148846
950,375,25,-79.45622338238172,43.77148771742358,60,12,"[70,75)",FALSE,0.10599813573062421
23,146,25,-79.37938116264995,43.70168399810791,60,42,"[100,)",TRUE,0.10599813573062421
2194,248,6,-79.3886931125191,43.78872935818508,60,85,"[75,80)",FALSE,0.10214000712148846
23,186,22,-79.17794070291566,43.60003103562631,60,19,"[65,70)",FALSE,0.2284611279144883
2611,63,13,-79.3412352821324,43.71343466835096,50,99,"[85,90)",FALSE,0.21606338378041984
164,393,23,-79.47713029503358,43.646370706520976,50,78,"[5,10)",FALSE,0.20431941663846373
950,403,13,-79.14012600998394,43.70184936923906,60,39,"[85,90)",FALSE,0.21606338378041984
416,117,23,-79.61016747846735,43.65231333500706,40,78,"[95,100)",FALSE,0.20431941663846373
2622,51,6,-79.19893309144537,43.7083906843327,40,33,"[80,85)",FALSE,0.10214000712148846
978,88,1,-79.19781543298159,43.749951713951305,50,20,"[85,90)",FALSE,0.23757148133590816
488,336,17,-79.12156434258213,43.70406841291115,40,38,"[85,90)",TRUE,0.18366153482347725
23,317,13,-79.3477930118097,43.733964289585124,30,36,"[50,55)",FALSE,0.21606338378041984
144,146,18,-79.61204552634155,43.725295315077524,60,7,"[85,90)",FALSE,0.2735045649576932
2611,176,11,-79.3639379468863,43.76321510360576,50,54,"[25,30)",FALSE,0.2465580616146326
164,237,22,-79.54291851682356,43.65580879151821,50,33,"[45,50)",TRUE,0.2284611279144883
2611,162,9,-79.50056550764712,43.72331859553233,30,95,"[85,90)",FALSE,0.2898721339181065
23,88,10,-79.3624105734285,43.75885327607393,30,46,"[85,90)",TRUE,0.14983852771110834
1961,375,24,-79.11123679395533,43.748813991621134,60,81,"[10,15)",FALSE,0.13554216166958213
23,207,1,-79.15719358251663,43.78964986233041,50,5,"[85,90)",FALSE,0.23757148133590816
488,250,8,-79.41840219666483,43.61364390407689,60,49,"[40,45)",TRUE,0.13440989600494505
2132,338,25,-79.33130454889033,43.793629478057845,30,94,"[40,45)",FALSE,0.10599813573062421
978,51,13,-79.14581145738484,43.6066091645509,30,14,"[50,55)",FALSE,0.21606338378041984
164,423,18,-79.56895365162055,43.62255671983585,40,48,"[30,35)",TRUE,0.2735045649576932
488,240,8,-79.31688021429582,43.727879414847116,40,3,"[20,25)",FALSE,0.13440989600494505
2132,250,24,-79.29669479745208,43.6260560633149,50,8,"[70,75)",FALSE,0.13554216166958213
719,165,16,-79.49550284595462,43.60364559791051,30,91,"[5,10)",FALSE,0.12078052596189082
950,243,15,-79.4113771209959,43.77194406455382,30,91,"[85,90)",FALSE,0.27325429841876026
2622,359,8,-79.39690520240693,43.65696095363237,30,18,"[85,90)",TRUE,0.13440989600494505
950,387,17,-79.50520429543685,43.69581266450696,40,89,"[90,95)",FALSE,0.18366153482347725
1961,409,6,-79.16015327797504,43.658410540176554,50,39,"[55,60)",FALSE,0.10214000712148846
23,240,15,-79.26097210648004,43.75394278136082,60,73,"[100,)",FALSE,0.27325429841876026
667,403,6,-79.3589066004497,43.67424755427055,50,57,"[5,10)",FALSE,0.10214000712148846
719,403,18,-79.51177361230367,43.76425485392101,40,45,"[100,)",FALSE,0.2735045649576932
1961,338,17,-79.1005322642508,43.700707834260534,60,100,"[35,40)",FALSE,0.18366153482347725
2194,376,10,-79.19680427862332,43.70501732490957,40,74,"[80,85)",FALSE,0.14983852771110834
144,84,23,-79.03659401329932,43.7268236272037,60,46,"[60,65)",FALSE,0.20431941663846373
488,207,25,-79.39467215224867,43.6784591475036,60,55,"[85,90)",FALSE,0.10599813573062421
23,316,18,-79.20204953540815,43.60860321656801,40,99,"[50,55)",TRUE,0.2735045649576932
2132,409,15,-79.33239432751434,43.77061379281804,30,24,"[65,70)",FALSE,0.27325429841876026
2194,84,5,-79.28872861994897,43.66737664719112,50,87,"[50,55)",FALSE,0.2390534340403974
2194,243,3,-79.2741615630337,43.688191518839446,60,8,"[30,35)",FALSE,0.1690231145825237
2132,234,18,-79.30218309918419,43.704532507807016,50,14,"[85,90)",FALSE,0.2735045649576932
2194,165,1,-79.14715659457724,43.79680703287013,50,98,"[10,15)",TRUE,0.23757148133590816
488,110,6,-79.62055907218019,43.67577098123729,40,94,"[75,80)",FALSE,0.10214000712148846
667,392,11,-79.02348195591476,43.66845380421728,40,83,"[85,90)",FALSE,0.2465580616146326
2194,110,11,-79.1021060386789,43.77505841380916,30,83,"[55,60)",FALSE,0.2465580616146326
667,317,19,-79.22056398036658,43.75743622952141,60,43,"[60,65)",TRUE,0.1704713825136423
488,51,7,-79.51504033014645,43.70234035770409,40,17,"[40,45)",FALSE,0.16900317068211734
302,21,3,-79.21223490805133,43.74705568491481,40,84,"[85,90)",FALSE,0.1690231145825237
2132,393,14,-79.28647785469657,43.62675863108598,50,60,"[95,100)",TRUE,0.2189563052263111
66,392,23,-79.33357677959138,43.75655405786819,50,17,"[20,25)",TRUE,0.20431941663846373
302,318,5,-79.41567883664975,43.797529434552416,30,40,"[20,25)",TRUE,0.2390534340403974
978,116,12,-79.0689817965962,43.71350733875297,60,55,"[85,90)",TRUE,0.23205783595331012
1961,361,22,-79.4755030575092,43.63562456290238,50,32,"[80,85)",FALSE,0.2284611279144883
488,409,19,-79.13837466979166,43.62149880821817,30,97,"[35,40)",FALSE,0.1704713825136423
144,250,5,-79.5632696663146,43.687759233592075,40,29,"[85,90)",FALSE,0.2390534340403974
488,88,24,-79.20790082593449,43.61596498196013,40,86,"[85,90)",FALSE,0.13554216166958213
950,176,11,-79.29189070470166,43.642210273444654,30,24,"[15,20)",FALSE,0.2465580616146326
978,403,21,-79.53425868339838,43.79055335200391,40,96,"[25,30)",FALSE,0.17609285484068096
659,208,10,-79.37707880001982,43.70421446650289,60,46,"[55,60)",FALSE,0.14983852771110834
416,17,5,-79.22330407781992,43.72759053413756,30,72,"[30,35)",FALSE,0.2390534340403974
2622,176,6,-79.37592798252591,43.733104426134375,50,25,"[55,60)",TRUE,0.10214000712148846
2622,88,6,-79.08247184525244,43.695353760803116,60,26,"[45,50)",TRUE,0.10214000712148846
164,176,6,-79.22846325684804,43.783424260839816,60,48,"[25,30)",FALSE,0.10214000712148846
978,319,11,-79.04126902944408,43.7218169755768,30,84,"[85,90)",TRUE,0.2465580616146326
950,165,24,-79.46791875284399,43.66096759205684,40,28,"[50,55)",FALSE,0.13554216166958213
164,237,18,-79.60691857575439,43.66201653867029,40,97,"[35,40)",TRUE,0.2735045649576932
719,362,25,-79.42447342419764,43.639654194703326,60,27,"[75,80)",TRUE,0.10599813573062421
302,11,10,-79.19568257726496,43.659936445159836,60,83,"[80,85)",FALSE,0.14983852771110834
659,386,25,-79.48539821451996,43.6114579772111,40,85,"[20,25)",FALSE,0.10599813573062421
719,318,16,-79.58784309540643,43.697140026884156,40,41,"[30,35)",FALSE,0.12078052596189082
416,88,11,-79.53875457240503,43.6037144722417,60,65,"[5,10)",TRUE,0.2465580616146326
416,319,9,-79.26375377110672,43.70388712333515,50,85,"[30,35)",FALSE,0.2898721339181065
66,318,10,-79.23412881651893,43.65570536097512,30,90,"[85,90)",FALSE,0.14983852771110834
488,237,16,-79.32813489638502,43.724145592423156,50,96,"[95,100)",FALSE,0.12078052596189082
978,375,23,-79.25537832657574,43.67977971923538,40,33,"[70,75)",TRUE,0.20431941663846373
164,63,19,-79.59145851888462,43.65138787073083,60,68,"[40,45)",TRUE,0.1704713825136423
719,386,22,-79.5924241185654,43.69043538868427,60,63,"[85,90)",TRUE,0.2284611279144883
144,298,1,-79.08416445632466,43.6317033010535,30,93,"[85,90)",FALSE,0.23757148133590816
164,17,21,-79.21521569847827,43.781707024946805,30,16,"[10,15)",TRUE,0.17609285484068096
950,84,25,-79.06784598460654,43.758557743532585,50,82,"[15,20)",TRUE,0.10599813573062421
488,387,7,-79.16041551055386,43.67813422041945,40,58,"[10,15)",TRUE,0.16900317068211734
144,176,14,-79.58819651376689,43.63762657605112,50,28,"[85,90)",TRUE,0.2189563052263111
719,84,10,-79.52782585228562,43.77634401423856,60,78,"[95,100)",TRUE,0.14983852771110834
659,181,17,-79.47899091263535,43.737855669669806,60,84,"[5,10)",TRUE,0.18366153482347725
667,110,5,-79.61084615839646,43.63597340299748,40,33,"[85,90)",FALSE,0.2390534340403974
667,11,25,-79.18358650697628,43.62159087811597,50,68,"[5,10)",FALSE,0.10599813573062421
2194,338,19,-79.46630768235774,43.77405872005038,60,68,"[30,35)",FALSE,0.1704713825136423
416,84,18,-79.23877267601202,43.74719582996331,50,80,"[50,55)",FALSE,0.2735045649576932
66,146,3,-79.35852586614202,43.60928836818785,30,34,"[40,45)",FALSE,0.1690231145825237
659,17,3,-79.41470931817312,43.64501509284601,60,89,"[60,65)",FALSE,0.1690231145825237
719,336,9,-79.02027413139585,43.79118919149041,50,32,"[85,90)",FALSE,0.2898721339181065
2132,116,21,-79.22138038703706,43.665302282059564,40,26,"[60,65)",FALSE,0.17609285484068096
719,338,19,-79.15980672847945,43.621466525411236,40,72,"[35,40)",FALSE,0.1704713825136423
164,423,11,-79.3301370953559,43.65046433652751,50,95,"[40,45)",FALSE,0.2465580616146326
66,176,13,-79.54882411008003,43.7016412188299,60,92,"[95,100)",TRUE,0.21606338378041984
144,117,17,-79.34357687494484,43.646958119655025,40,91,"[35,40)",FALSE,0.18366153482347725
950,117,22,-79.5635131973657,43.69642945080996,50,80,"[100,)",FALSE,0.2284611279144883
302,186,22,-79.40288550052792,43.68686462086625,60,45,"[75,80)",FALSE,0.2284611279144883
302,11,2,-79.61182990797097,43.71578156421892,60,60,"[85,90)",FALSE,0.19843852175399662
302,336,10,-79.52374990960817,43.639260271610695,50,79,"[100,)",FALSE,0.14983852771110834
719,316,19,-79.49486052226275,43.718044285709034,60,27,"[60,65)",FALSE,0.1704713825136423
2132,208,16,-79.23475200237009,43.648945666803044,60,50,"[45,50)",FALSE,0.12078052596189082
659,318,3,-79.51230429495918,43.6984340462368,60,48,"[55,60)",TRUE,0.1690231145825237
488,208,6,-79.61953374075239,43.75067678373307,60,45,"[75,80)",TRUE,0.10214000712148846
302,21,3,-79.14475625720806,43.615172029193495,40,89,"[40,45)",FALSE,0.1690231145825237
23,234,23,-79.46120055518114,43.71065643625334,60,51,"[50,55)",TRUE,0.20431941663846373
1961,248,3,-79.43127522112336,43.758923980081455,40,76,"[55,60)",FALSE,0.1690231145825237
164,243,4,-79.25336642913753,43.72470899936743,40,59,"[15,20)",FALSE,0.29900998231023546
659,392,9,-79.50459387268639,43.61856086421758,40,67,"[65,70)",FALSE,0.2898721339181065
23,11,14,-79.08497432011646,43.62987056709826,60,15,"[90,95)",FALSE,0.2189563052263111
719,51,13,-79.64393727080898,43.79869426055811,50,64,"[75,80)",FALSE,0.21606338378041984
667,409,16,-79.63506758990698,43.683372530573976,30,91,"[75,80)",FALSE,0.12078052596189082
164,403,5,-79.2583322818624,43.71814118181355,60,68,"[70,75)",FALSE,0.2390534340403974
659,387,2,-79.61092695151456,43.773385839303955,40,69,"[75,80)",TRUE,0.19843852175399662
1961,319,20,-79.5180509514874,43.67874373528175,30,84,"[90,95)",TRUE,0.17796507151797414
23,392,23,-79.1003867153544,43.643190772552046,50,54,"[30,35)",FALSE,0.20431941663846373
659,319,24,-79.62562275708189,43.78307428956032,30,55,"[90,95)",TRUE,0.13554216166958213
667,319,22,-79.47900496681687,43.72881455323659,50,84,"[85,90)",FALSE,0.2284611279144883
66,51,22,-79.16316646573833,43.60374166253023,60,14,"[80,85)",TRUE,0.2284611279144883
1961,248,21,-79.21746818794637,43.60126876709983,50,24,"[85,90)",FALSE,0.17609285484068096
659,316,5,-79.52758589194855,43.71375558981672,40,53,"[85,90)",FALSE,0.2390534340403974
416,359,16,-79.16337948681321,43.60211930531077,30,68,"[30,35)",FALSE,0.12078052596189082
66,338,10,-79.63182713650167,43.743782322574404,50,75,"[60,65)",FALSE,0.14983852771110834
2622,317,19,-79.47650052907412,43.70592034989968,40,39,"[70,75)",FALSE,0.1704713825136423
978,237,17,-79.24989254828543,43.71313596544787,30,86,"[60,65)",TRUE,0.18366153482347725
302,250,24,-79.63030639264035,43.67890007374808,40,25,"[60,65)",FALSE,0.13554216166958213
2622,110,21,-79.17573400088587,43.699210327025504,50,48,"[85,90)",FALSE,0.17609285484068096
2194,234,8,-79.41870174406795,43.639673416642474,50,6,"[90,95)",FALSE,0.13440989600494505
978,88,19,-79.13653031593421,43.69506286797114,50,91,"[50,55)",TRUE,0.1704713825136423
978,423,14,-79.44493181103608,43.745162806520234,60,65,"[85,90)",FALSE,0.2189563052263111
416,298,18,-79.33547265954549,43.609479354321955,60,81,"[30,35)",FALSE,0.2735045649576932
978,12,7,-79.25323660339927,43.793862918484955,30,61,"[100,)",FALSE,0.16900317068211734
144,403,22,-79.41430125717307,43.78108437363989,30,69,"[85,90)",TRUE,0.2284611279144883
950,11,6,-79.36942649605918,43.75870690345764,60,72,"[95,100)",TRUE,0.10214000712148846
719,359,25,-79.52933142855764,43.657221044413745,30,54,"[75,80)",FALSE,0.10599813573062421
978,162,18,-79.43265809764853,43.68916673655622,60,65,"[75,80)",FALSE,0.2735045649576932
659,208,14,-79.47439490591641,43.67775467159227,60,45,"[60,65)",FALSE,0.2189563052263111
23,362,13,-79.00919206459075,43.720959873497485,40,39,"[75,80)",TRUE,0.21606338378041984
66,17,21,-79.14958087891573,43.75194050702266,30,45,"[75,80)",FALSE,0.17609285484068096
1961,362,19,-79.0150509838597,43.72835173392668,50,69,"[85,90)",TRUE,0.1704713825136423
667,298,13,-79.3488329209038,43.72756536551751,30,61,"[75,80)",FALSE,0.21606338378041984
950,386,7,-79.24934383438668,43.70831542727537,40,74,"[20,25)",TRUE,0.16900317068211734
23,240,9,-79.61248765365454,43.62048633554951,30,29,"[100,)",FALSE,0.2898721339181065
667,117,25,-79.4972086954862,43.69043162642047,40,72,"[95,100)",FALSE,0.10599813573062421
2132,338,20,-79.21958183136303,43.72054765243083,30,51,"[20,25)",TRUE,0.17796507151797414
667,248,4,-79.56935200234875,43.76392041724175,40,13,"[5,10)",TRUE,0.29900998231023546
1961,403,13,-79.09318383571227,43.781115462258455,50,97,"[40,45)",FALSE,0.21606338378041984
23,243,6,-79.63902583431918,43.64543375796639,40,60,"[60,65)",FALSE,0.10214000712148846
66,110,12,-79.58304956255016,43.60665194876492,40,79,"[85,90)",FALSE,0.23205783595331012
950,392,10,-79.48527016793378,43.72506605312228,60,96,"[65,70)",FALSE,0.14983852771110834
978,51,24,-79.6136992914835,43.78423271407373,30,58,"[80,85)",FALSE,0.13554216166958213
66,250,13,-79.42570855149533,43.61179480422288,40,35,"[5,10)",TRUE,0.21606338378041984
2132,240,17,-79.3778732959996,43.629834005841985,40,38,"[55,60)",FALSE,0.18366153482347725
950,165,10,-79.42108349341434,43.605015034833926,60,79,"[50,55)",FALSE,0.14983852771110834
2194,409,18,-79.11396307483082,43.63260260471143,30,41,"[100,)",TRUE,0.2735045649576932
488,181,22,-79.57398208128289,43.73181296377442,30,37,"[80,85)",FALSE,0.2284611279144883
488,110,6,-79.18003940212076,43.72316134045832,30,13,"[20,25)",FALSE,0.10214000712148846
164,17,16,-79.13176891299663,43.74096065792255,50,55,"[85,90)",FALSE,0.12078052596189082
